	Amino Acids Biosynthesis	Hormones Biosynthesis	Aromatic Compounds Degradation	Other Biosynthesis	Superpathways	Bioluminescence	Aminoacyl-tRNA Charging	Chlorinated Compounds Degradation	Degradation/Utilization/Assimilation - Other	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Pentose Phosphate Pathways	Hydrogen Production	Generation of Precursor Metabolites and Energy	Interconversions	Carboxylates Degradation	Siderophore Biosynthesis	Reactive Oxygen Species Degradation	Respiration	Fermentation	Metabolic Regulators Biosynthesis	Electron Transfer	Metabolic Clusters	Chemoautotrophic Energy Metabolism	Inorganic Nutrients Metabolism	Protein Modification	Glycolysis	Mercury Detoxification	Amines and Polyamines Degradation	Fatty Acid and Lipids Degradation	Aldehyde Degradation	Arsenate Detoxification	Detoxification	Seleno-Amino Acid Detoxification	Secondary Metabolites Biosynthesis	C1 Compounds Utilization and Assimilation	Inactivation	Polymeric Compounds Degradation	Cofactors, Prosthetic Groups, Electron Carriers Degradation	Cyanide Detoxification	Steroids Degradation	Antibiotic Resistance	Secondary Metabolites Degradation	Amines and Polyamines Biosynthesis	Acetyl-CoA Biosynthesis	Carbohydrates Biosynthesis	Photosynthesis	Methylglyoxal Detoxification	Carbohydrates Degradation	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Cell Structures Biosynthesis	Other	Amino Acids Degradation	Protein Degradation	Alcohols Degradation	Aromatic Compounds Biosynthesis	Activation	Storage Compounds Biosynthesis	Hormones Degradation	TCA cycle	Acid Resistance	Fatty Acid and Lipid Biosynthesis	Entner-Duodoroff Pathways	Nucleosides and Nucleotides Degradation
Abiotrophia	0.10483870967741936	0.0	0.0	0.0	0.052770448548812667	0.0	0.25	0.0	0.0	0.0743801652892562	0.25	0.0	0.03333333333333333	0.0	0.030303030303030304	0.0	1.0	0.0	0.045454545454545456	0.03571428571428571	0.0	0.07272727272727272	0.0	0.016260162601626018	0.0	0.4	1.0	0.01639344262295082	0.0	0.18181818181818182	0.0	0.0	0.0	0.00410958904109589	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.02631578947368421	0.0	0.027586206896551724	0.0	0.25	0.043478260869565216	0.0	0.4461538461538462	0.0410958904109589	0.0	0.034782608695652174	0.0	0.05	0.03125	0.0	0.0	0.0	0.0	0.0	0.03783783783783784	0.0	0.2972972972972973
Acaricomes	0.20967741935483872	0.0	0.005050505050505051	0.0	0.055408970976253295	0.0	0.5	0.0	0.03225806451612903	0.09090909090909091	0.0	0.0	0.03333333333333333	0.0	0.030303030303030304	0.0	1.0	0.05263157894736842	0.015151515151515152	0.07142857142857142	0.03125	0.07272727272727272	0.0	0.04065040650406504	0.0	0.2	0.0	0.06557377049180328	0.05714285714285714	0.09090909090909091	0.0	0.0	0.0	0.0	0.03225806451612903	0.0	0.021739130434782608	0.0	0.0	0.0	0.14285714285714285	0.0	0.05263157894736842	0.25	0.027586206896551724	0.0	0.125	0.017391304347826087	0.0	0.46153846153846156	0.0684931506849315	0.0	0.14782608695652175	0.0	0.05	0.03125	0.0	0.0	0.0	0.1111111111111111	0.0	0.021621621621621623	0.0	0.10810810810810811
Acaryochloris	0.3467741935483871	0.0	0.030303030303030304	0.25	0.16358839050131926	0.0	0.5	0.07142857142857142	0.0967741935483871	0.2768595041322314	0.75	0.6666666666666666	0.03333333333333333	0.0	0.07575757575757576	0.0	0.5	0.14035087719298245	0.16666666666666666	0.14285714285714285	0.125	0.10909090909090909	0.3888888888888889	0.15447154471544716	0.0	0.6	1.0	0.04918032786885246	0.11428571428571428	0.2727272727272727	0.2	0.06666666666666667	0.0	0.0136986301369863	0.12903225806451613	0.0	0.08695652173913043	0.0	0.0	0.75	0.14285714285714285	0.045454545454545456	0.13157894736842105	0.25	0.1103448275862069	0.5714285714285714	0.25	0.10434782608695652	0.0	0.5076923076923077	0.136986301369863	0.2	0.1565217391304348	0.0	0.4	0.09375	0.3	0.0	0.0	0.3333333333333333	0.3333333333333333	0.10270270270270271	0.0	0.1891891891891892
Acetivibrio	0.4032258064516129	0.014492753623188406	0.010101010101010102	0.0	0.13720316622691292	0.0	0.5	0.0	0.0	0.19834710743801653	0.25	0.6666666666666666	0.03333333333333333	0.0	0.030303030303030304	0.0	0.5	0.0	0.18181818181818182	0.07142857142857142	0.03125	0.12727272727272726	0.16666666666666666	0.07317073170731707	0.0	0.4	0.0	0.01639344262295082	0.02857142857142857	0.18181818181818182	0.2	0.0	0.0	0.00410958904109589	0.12903225806451613	0.0	0.06521739130434782	0.0	0.0	0.0	0.14285714285714285	0.02727272727272727	0.13157894736842105	0.0	0.08275862068965517	0.14285714285714285	0.125	0.0782608695652174	0.0	0.6	0.1506849315068493	0.2	0.12173913043478261	0.0	0.15	0.09375	0.2	0.2	0.0	0.1111111111111111	0.3333333333333333	0.06486486486486487	0.0	0.32432432432432434
Acetobacter	0.46774193548387094	0.043478260869565216	0.020202020202020204	0.0	0.1741424802110818	0.0	0.75	0.0	0.16129032258064516	0.2892561983471074	0.75	0.1111111111111111	0.03333333333333333	0.0	0.16666666666666666	0.0	1.0	0.22807017543859648	0.19696969696969696	0.25	0.28125	0.14545454545454545	0.1111111111111111	0.16260162601626016	0.0	0.4	0.0	0.19672131147540983	0.11428571428571428	0.18181818181818182	0.2	0.06666666666666667	0.0	0.00684931506849315	0.16129032258064516	0.0	0.10869565217391304	0.0	0.0	0.5	0.0	0.06363636363636363	0.15789473684210525	0.25	0.13793103448275862	0.0	0.25	0.11304347826086956	0.0	0.5384615384615384	0.1506849315068493	0.2	0.25217391304347825	0.0	0.3	0.125	0.2	0.0	0.0	0.5555555555555556	0.0	0.11351351351351352	0.0	0.32432432432432434
Acetobacteraceae	0.3467741935483871	0.028985507246376812	0.050505050505050504	0.0	0.15567282321899736	0.0	0.5	0.0	0.06451612903225806	0.24380165289256198	0.25	0.6666666666666666	0.06666666666666667	0.0	0.19696969696969696	0.05263157894736842	0.5	0.12280701754385964	0.06060606060606061	0.17857142857142858	0.1875	0.10909090909090909	0.2222222222222222	0.07317073170731707	0.0	0.2	0.0	0.19672131147540983	0.14285714285714285	0.2727272727272727	0.2	0.0	0.0	0.00821917808219178	0.16129032258064516	0.0	0.06521739130434782	0.0	0.0	0.75	0.0	0.07272727272727272	0.15789473684210525	0.25	0.13793103448275862	0.14285714285714285	0.25	0.09565217391304348	0.0	0.5384615384615384	0.1780821917808219	0.2	0.23478260869565218	0.0	0.4	0.125	0.1	0.2	0.0	0.6666666666666666	0.3333333333333333	0.12432432432432433	0.0	0.2972972972972973
Acetobacterium	0.3870967741935484	0.0	0.015151515151515152	0.0	0.158311345646438	0.0	0.5	0.023809523809523808	0.03225806451612903	0.2644628099173554	0.25	0.2222222222222222	0.03333333333333333	0.0	0.06060606060606061	0.0	0.5	0.07017543859649122	0.24242424242424243	0.07142857142857142	0.0	0.12727272727272726	0.05555555555555555	0.13008130081300814	0.0	0.4	0.0	0.11475409836065574	0.08571428571428572	0.18181818181818182	0.2	0.0	0.0	0.00410958904109589	0.12903225806451613	0.0	0.043478260869565216	0.0	0.0	0.0	0.2857142857142857	0.00909090909090909	0.13157894736842105	0.25	0.07586206896551724	0.0	0.25	0.06956521739130435	0.0	0.6307692307692307	0.136986301369863	0.0	0.2	0.0	0.45	0.15625	0.2	0.0	0.0	0.0	0.6666666666666666	0.0972972972972973	0.0	0.2702702702702703
Acetohalobium	0.3467741935483871	0.0	0.010101010101010102	0.0	0.14775725593667546	0.0	0.25	0.0	0.0	0.23553719008264462	0.25	0.1111111111111111	0.0	0.0	0.015151515151515152	0.0	0.5	0.03508771929824561	0.2878787878787879	0.10714285714285714	0.03125	0.09090909090909091	0.1111111111111111	0.10569105691056911	0.0	0.4	0.0	0.04918032786885246	0.05714285714285714	0.09090909090909091	0.0	0.0	0.0	0.00410958904109589	0.0967741935483871	0.0	0.06521739130434782	0.0	0.0	0.0	0.2857142857142857	0.01818181818181818	0.05263157894736842	0.0	0.08275862068965517	0.0	0.125	0.06086956521739131	0.0	0.5230769230769231	0.136986301369863	0.0	0.1565217391304348	0.0	0.2	0.125	0.2	0.0	0.0	0.1111111111111111	0.0	0.05405405405405406	0.0	0.40540540540540543
Acetonema	0.3709677419354839	0.0	0.025252525252525252	0.0	0.13984168865435356	0.0	0.75	0.0	0.0	0.2190082644628099	0.25	0.6666666666666666	0.0	0.05555555555555555	0.21212121212121213	0.05263157894736842	0.5	0.15789473684210525	0.16666666666666666	0.17857142857142858	0.15625	0.09090909090909091	0.2222222222222222	0.11382113821138211	0.0	0.4	0.0	0.13114754098360656	0.11428571428571428	0.2727272727272727	0.0	0.0	0.0	0.0	0.12903225806451613	0.0	0.06521739130434782	0.0	0.0	0.125	0.14285714285714285	0.08181818181818182	0.10526315789473684	0.0	0.1103448275862069	0.14285714285714285	0.125	0.10434782608695652	0.0	0.46153846153846156	0.1780821917808219	0.0	0.20869565217391303	0.0	0.4	0.125	0.2	0.2	0.0	0.1111111111111111	0.3333333333333333	0.06486486486486487	0.0	0.21621621621621623
Acholeplasma	0.056451612903225805	0.0	0.0	0.0	0.036939313984168866	0.0	0.25	0.0	0.0	0.07024793388429752	0.25	0.0	0.0	0.0	0.0	0.0	1.0	0.017543859649122806	0.030303030303030304	0.03571428571428571	0.0	0.05454545454545454	0.0	0.016260162601626018	0.0	0.0	0.0	0.03278688524590164	0.02857142857142857	0.09090909090909091	0.2	0.0	0.0	0.0	0.06451612903225806	0.0	0.0	0.0	0.0	0.0	0.0	0.02727272727272727	0.07894736842105263	0.0	0.027586206896551724	0.0	0.125	0.043478260869565216	0.0	0.4461538461538462	0.0273972602739726	0.0	0.043478260869565216	0.0	0.05	0.125	0.1	0.0	0.0	0.0	0.0	0.043243243243243246	0.0	0.16216216216216217
