7-Keto-8-aminopelargonate-Biosynthesis	PWY-7147;PWY-6578;PWY-6519
Vitamin-Biosynthesis	PANTOSYN-PWY;PWY-6076;PWY3O-6;PWY-5027;PWY-7436;PWY-1422
Chloroaromatic-Compounds-Degradation	PWY-6086;PWY-6197;PWY-6102;PWY-7512;PWY-6178;PWY-6107;PWY-6200;PWY-7496;PWY-6085
THREONINE-DEG	PWY-5437;PWY66-428;THRDLCTCAT-PWY;THREOCAT-PWY;THREONINE-DEG2-PWY;PWY-5436
Uracil-Degradation	PWY-3982;PWY0-1471;PWY-6426
Lipoate-Biosynthesis	PWY0-1275;PWY0-522;PWY0-501;PWY-7382;PWY-6984;PWY-6987
Rhodoquinone-Biosynthesis	PWY-5889;PWY-5888
PROLINE-SYN	ARG-PRO-PWY;PWY-3341;PROSYN-PWY;ORN-AMINOPENTANOATE-CAT-PWY;PWY-4281;PWY-4981
Demethylmenaquinol-8-Biosynthesis	PWY-5852;PWY-6262;PWY-5861;PWY-6793
Aminoacyl-tRNAs-Charging	PWY490-4;TRNA-CHARGING-PWY;PWY-5921;PWY-6308
Purine-Ribonuc-De-Novo-Biosynthesis	PWY-7221;PWY-7219
Nucleic-Acid-Processing	PWY-7286;PWY-7283;PWY0-1479;PWY-7375;PWY-6711;PWY-6700;PWY-7379;PWY-6829;PWY0-1554;PWY-7285;PWY0-1587;PWY-6689
GLUTAMATE-SYN	PWY-4341;GLUTSYNIII-PWY;GLUTAMATE-SYN2-PWY;ARGASEDEG-PWY;PWY-5505;GLUGLNSYN-PWY;GLUTSYN-PWY
Beta-Alanine-Degradation	BETA-ALA-DEGRADATION-I-PWY;PWY-1781
TYROSINE-SYN	PWY-3461;PWY-6120;TYRSYN;PWY-6134;PWY-6630
ASPARAGINE-SYN	PWY0-1325;ASPSYNII-PWY;PWY490-4;ASPARAGINESYN-PWY;ASPARAGINE-BIOSYNTHESIS
Demethylmenaquinol-6-Biosynthesis	PWY-7373;PWY-5853;PWY-7372;PWY-5860
CoA-Biosynthesis	PANTOSYN-PWY;PWY-4242;PWY-4221;COA-PWY;COA-PWY-1
Thiamin-Salvage	PWY-6898;PWY-6896;PWY-7356;PWY-6899;PWY-6910;PWY-6897
Metabolic-Regulators	PWY-6158;PWY66-420;PWY-6100;PWY-6405;PWY66-423;PWY-7535;PPGPPMET-PWY
ASPARAGINE-DEG	ASPARAGINE-DEG1-PWY-1;PWY-4002;ASPARAGINE-DEG1-PWY
Pyrimidine-Deoxyribonucleosides-Deg	PWY-7181;PWY-7206
MISCELLANEOUS-DEG	PWY-4021;PWY-6334;CITRULLINE-DEG-PWY;ORN-AMINOPENTANOATE-CAT-PWY;PWY-6344
