TAX-1132507	Salmonella enterica
Pfam-PF11887.4	Mce4_CUP1
TAX-1880	Micromonospora olivasterospora
TAX-544645	Butyricimonas virosa
TAX-1041139	Rhizobium giardinii
Pfam-Entry-PF00144.20	Beta-lactamase
PWY3DJ-35549	Biopterin recycling
TAX-1138910	Enterococcus faecium
Pfam-PF03457.10	HA
Pfam-Entry-PF13032.2	DUF3893
TAX-985078	Burkholderia multivorans
Pfam-PF06412.7	TraD
TAX-108010	Thioalkalivibrio paradoxus
TAX-1165076	Imtechella
Pfam-PF14520.2	HHH_5
Pfam-Entry-PF02507.11	PSI_PsaF
Cobalamin-Biosynthesis	Cobalamin Biosynthesis
TAX-1095640	Vibrio cholerae
Pfam-PF11181.4	YflT
TAX-78372	Amorphophallus konjac
TAX-178606	Leptospirillum ferriphilum
Pfam-PF08332.6	CaMKII_AD
Pfam-PF14281.2	PDDEXK_4
Scyptolins	a scyptolin
TAX-1236544	Shewanella algae
GO:0015698	inorganic anion transport
Pfam-PF02785.15	Biotin_carb_C
Pfam-Entry-PF09905.5	DUF2132
TAX-1121438	Desulfovibrio alcoholivorans
TAX-36025	Nakazawaea holstii
Sulfur-Oxidation	Sulfur Oxidation
TAX-153948	Nitrosomonas sp. AL212
GO:0002208	somatic diversification of immunoglobulins involved in immune response
Pfam-Entry-PF00955.17	HCO3_cotransp
NN-dimethyl-terminal-YPK	an N terminal <i>N,N</i>-dimethyl-(A/S)PK-[protein]
GIPC-46-1-2s	a glycosylinositolphosphoceramide(46:1)-2
Pfam-PF14239.2	RRXRR
ALANINE-DEG3-PWY	alanine degradation III
Pfam-PF07208.7	DUF1414
Tyrosine-amide-Modifications	Tyrosine amide
Pfam-PF07733.8	DNA_pol3_alpha
Pfam-Entry-PF09361.6	Phasin_2
tRNA-uridine-38-39	a tRNA uridine<sup>38/39</sup>
4-hydroxyphenylheptadecanoyl-PpsA	17-(4-hydroxyphenyl)heptadecanoyl-[phthiodiolenone synthase]
GO:0045930	negative regulation of mitotic cell cycle
EV-COMP-AINF-FN-FROM-SEQ	Automated inference of function from sequence
TAX-1221260	Acinetobacter baumannii
CPD0-2352	a tRNA precursor with a 5' extension and a short 3' extension
TAX-941640	Mycoplasma haemofelis
GO:0005070	SH3/SH2 adaptor activity
Pfam-Entry-PF02769.18	AIRS_C
TAX-313612	Lyngbya sp. PCC 8106
GO:0071495	cellular response to endogenous stimulus
TAX-390877	Nisaea denitrificans
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)
TAX-992121	Helicobacter pylori
GO:0016119	carotene metabolic process
TAX-1105107	Rickettsia canadensis
1-6-anhydro-MurNAc-pentapeptide	1,6-anhydro-MurNAc-pentapeptide
TAX-1121034	Niveispirillum irakense
GO:0004962	endothelin receptor activity
PC-9	Sugar-Specific-Proteins
GO:0006129	protein-disulfide reduction
GO:0000155	phosphorelay sensor kinase activity
