"V1" "V2"
"539" "Streptococcus" 512
"897" "Escherichia" 403
"613" "Bacillus" 211
"276" "Staphylococcus" 197
"1288" "Helicobacter" 187
"1190" "Lactobacillus" 183
"1237" "Acinetobacter" 152
"765" "Vibrio" 135
"754" "Enterococcus" 132
"778" "Pseudomonas" 121
"288" "Salmonella" 117
"191" "Clostridium" 112
"682" "Mycoplasma" 112
"740" "Chlamydia" 108
"878" "Streptomyces" 103
"1125" "Corynebacterium" 96
"822" "Mycobacterium" 94
"1160" "Propionibacterium" 93
"23" "Leptospira" 88
"542" "Campylobacter" 88
"969" "Bacteroides" 77
"353" "Burkholderia" 74
"142" "Bifidobacterium" 70
"915" "Neisseria" 70
"83" "Yersinia" 54
"520" "Prevotella" 54
"445" "Paenibacillus" 52
"115" "Listeria" 48
"893" "Rickettsia" 45
"1245" "Treponema" 41
"1121" "Klebsiella" 40
"265" "Borrelia" 37
"514" "Brucella" 35
"748" "Francisella" 34
"1007" "Desulfovibrio" 32
"608" "Haemophilus" 31
"372" "Shewanella" 30
"1365" "Fusobacterium" 30
"49" "Bartonella" 29
"679" "Xanthomonas" 27
"708" "Actinomyces" 27
"713" "Rhizobium" 27
"34" "Flavobacterium" 26
"642" "Legionella" 24
"35" "Nocardia" 23
"379" "Eubacterium" 21
"31" "Synechococcus" 20
"1100" "Shigella" 20
"285" "Rhodococcus" 19
"567" "Halorubrum" 19
"595" "Serratia" 18
"105" "Sulfolobus" 17
"359" "Pseudoalteromonas" 17
"647" "Deinococcus" 17
"1186" "Gordonia" 17
"242" "Alteromonas" 16
"1235" "Halomonas" 16
"447" "Ralstonia" 15
"475" "Geobacillus" 15
"811" "Bordetella" 15
"1003" "Gardnerella" 15
"1037" "Porphyromonas" 15
"1111" "Enterobacter" 15
"1138" "Acetobacter" 15
"55" "Leuconostoc" 14
"74" "Moraxella" 14
"77" "Ruminococcus" 14
"123" "Veillonella" 14
"363" "Lactococcus" 14
"434" "Chryseobacterium" 14
"782" "Nocardiopsis" 14
"862" "Buchnera" 14
"1031" "Arthrobacter" 14
"202" "Capnocytophaga" 13
"211" "Thermus" 13
"236" "Sphingomonas" 13
"547" "Sphingobium" 13
